DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V05_0330,Pennsylvania Journal,"PENNSYLVANIA JOURNAL , WEDNESDAY, MAY 22, 1776 Philadel",Pennsylvania Journal,PENNSYLVANIA JOURNAL,title,/TaggedPDF-doc/doc[330]/title/pub
NDAR_V05_0336,South Carolina and American General Gazette,"SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE , WEDNESDAY, MAY 8 TO WEDNESDAY, MAY 22,",South Carolina and American General Gazette,SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE,title,/TaggedPDF-doc/doc[336]/title/pub
NDAR_V05_0345,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, MAY 23, 1776 Boston, M",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[345]/title/pub
NDAR_V05_0362,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, MAY 24, 1776 New London,",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[362]/title/pub
NDAR_V05_0375,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, MAY 24, 1776 Williamsbur",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[375]/title/pub
NDAR_V05_0382,The Freeman's Journal,"THE FREEMAN'S JOURNAL , SATURDAY, MAY 25, 1776 Portsmout",The Freeman's Journal,THE FREEMAN'S JOURNAL,title,/TaggedPDF-doc/doc[382]/title/pub
NDAR_V05_0413,Boston Gazette,"BOSTON GAZETTE , MONDAY, MAY 27, 1776. Colony of",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[413]/title/pub
NDAR_V05_0426,New York Gazette,"NEW-YORK GAZETTE , MONDAY, MAY 27, 1776 New York, M",New York Gazette,NEW-YORK GAZETTE,title,/TaggedPDF-doc/doc[426]/title/pub
NDAR_V05_0437,American Gazette,"AMERICAN GAZETTE , WEDNESDAY, JUNE 19, 1776 Halifax",American Gazette,AMERICAN GAZETTE,title,/TaggedPDF-doc/doc[437]/title/pub
NDAR_V05_0465,Connecticut Journal,"CONNECTICUT JOURNAL , WEDNESDAY, MAY 29, 1776 New-Have",Connecticut Journal,CONNECTICUT JOURNAL,title,/TaggedPDF-doc/doc[465]/title/pub
NDAR_V05_0471,Pennsylvania Gazette,"PENNSYLVANIA GAZETTE , WEDNESDAY, MAY 29, 1776 Philadel",Pennsylvania Gazette,PENNSYLVANIA GAZETTE,title,/TaggedPDF-doc/doc[471]/title/pub
NDAR_V05_0480,New England Chronicle,"NEW-ENGLAND CHRONICLE , THURSDAY, MAY 30, 1776 Boston, M",New England Chronicle,NEW-ENGLAND CHRONICLE,title,/TaggedPDF-doc/doc[480]/title/pub
NDAR_V05_0499,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, MAY 31, 1776 New London,",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[499]/title/pub
NDAR_V05_0515,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, MAY 31, 1776 Williamsbur",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[515]/title/pub
NDAR_V05_0520,South Carolina and American General Gazette,"SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE , FRIDAY, MAY 31, TO FRIDAY, AUGUST 2, 1",South Carolina and American General Gazette,SOUTH-CAROLINA AND AMERICAN GENERAL GAZETTE,title,/TaggedPDF-doc/doc[520]/title/pub
NDAR_V05_0573,Boston Gazette,"BOSTON GAZETTE , MONDAY, JUNE 3, 1776. Watertown,",Boston Gazette,BOSTON GAZETTE,title,/TaggedPDF-doc/doc[573]/title/pub
NDAR_V05_0575,Newport Mercury,"NEWPORT MERCURY , MONDAY, JUNE 3, 1776 Newport, Ju",Newport Mercury,NEWPORT MERCURY,title,/TaggedPDF-doc/doc[575]/title/pub
NDAR_V05_0591,New York Packet,"NEW YORK PACKET THURSDAY, JULY 18, 1776 English H",New York Packet,NEW YORK PACKET,title,/TaggedPDF-doc/doc[591]/title/pub
NDAR_V05_0642,New York Packet,"NEW YORK PACKET , THURSDAY, JUNE 6, 1776 New York,",New York Packet,NEW YORK PACKET,title,/TaggedPDF-doc/doc[642]/title/pub
NDAR_V05_0662,Connecticut Gazette,"CONNECTICUT GAZETTE , FRIDAY, JUNE 7, 1776 New-London,",Connecticut Gazette,CONNECTICUT GAZETTE,title,/TaggedPDF-doc/doc[662]/title/pub
NDAR_V05_0674,Virginia Gazette,"PURDIE'S VIRGINIA GAZETTE , FRIDAY, JUNE 7, 1776 Williamsbur",Virginia Gazette,VIRGINIA GAZETTE,title,/TaggedPDF-doc/doc[674]/title/pub
NDAR_V05_0684,The Freeman's Journal,"THE FREEMAN'S JOURNAL , SATURDAY, JUNE 8, 1776 Portsmout",The Freeman's Journal,THE FREEMAN'S JOURNAL,title,/TaggedPDF-doc/doc[684]/title/pub
NDAR_V05_0690,Providence Gazette,"PROVIDENCE GAZETTE , SATURDAY, JUNE 8, 1776. Providen",Providence Gazette,PROVIDENCE GAZETTE,title,/TaggedPDF-doc/doc[690]/title/pub
